output_version: 2
gen:moon:0 ee914c25e7cfb3fd
gen:moon:1 fffbc2e582011f85
gen:moon:42 ea392918561ed492
gen:moon:7777 818f40e03030b5ae
gen:moon:123456789 b5de27993a90e600
gen:moon:987654321 fe13dea4dafe8c87
gen:moon:4503599627370496 5f9d551eed4bf8a1
gen:moon:18446744073709551615 755a7c518c6ebe93
gen:rocky:0 e5773f9cc690d76b
gen:rocky:1 36392133d62edfee
gen:rocky:42 16cd59457f0191a3
gen:rocky:7777 61664936b6f1fe3a
gen:rocky:123456789 4c7e019e51b4d4f4
gen:rocky:987654321 20abbd17f2ee0697
gen:rocky:4503599627370496 9c864a2074889b67
gen:rocky:18446744073709551615 db046e0a6a838abc
gen:ocean:0 35c3f186c5c18d75
gen:ocean:1 7173282d478e882d
gen:ocean:42 0f57e3a8cf700d02
gen:ocean:7777 9d673b7e4bc84a09
gen:ocean:123456789 93e825b6be83bcf7
gen:ocean:987654321 0ef91b9494cc1d17
gen:ocean:4503599627370496 5062cf8fb6a499dd
gen:ocean:18446744073709551615 6274685137292d93
canonical:earthlike a4d27514df875f0c
canonical:earthlike-ice-age 4a31e9957c89e078
